ことも無げ,こともなげ
こと足りる,ことたりる
こと霊,ことだま
こぬか雨,こぬかあめ
この上ない,このうえない
この世,このよ
この先,このさき
この度,このたび
この方,このかた
この方,このほう
この程,このほど
この節,このせつ
この間,このあいだ
この間,このかん
この際,このさい
こびり付く,こびりつく
こびり着く,こびりつく
こぼれ種,こぼれだね
こぼれ種,こぼれダネ
こぼれ落ちる,こぼれおちる
こぼれ話,こぼればなし
こま板,こまいた
こみ上げる,こみあげる
こみ合う,こみあう
こむら返り,こむらがえり
こらえ性,こらえしょう
これ等,これら
ころ柿,ころがき
こん棒,こんぼう
ごう慢,ごうまん
ごく潰し,ごくつぶし
ごった煮,ごったに
ごった返えす,ごったがえす
ごった返す,ごったがえす
ごね得,ごねどく
ごま和え,ごまあえ
ごま油,ごまあぶら
ごみ箱,ごみばこ
ごり押し,ごりおし
ごろ合せ,ごろあわせ
ごろ合わせ,ごろあわせ
ごろ寝,ごろね
ご三家,ごさんけ
ご不沙汰,ごぶさた
ご不浄,ごふじょう
ご仁,ごじん
ご免,ごめん
ご利益,ごりやく
ご多分,ごたぶん
ご存じ,ごぞんじ
ご存知,ごぞんじ
ご家人,ごけにん
ご寮人,ごりょうにん
ご幣,ごへい
ご府内,ごふない
ご座所,ござしょ
ご廟,ごびょう
ご影,ごえい
ご念,ごねん
ご愁傷さま,ごしゅうしょうさま
ご愁傷様,ごしゅうしょうさま
ご所,ごしょ
ご所車,ごしょぐるま
ご新造,ごしんぞ
ご新造,ごしんぞう
ご朱印,ごしゅいん
ご朱印船,ごしゅいんせん
ご来光,ごらいこう
ご機嫌,ごきげん
ご殿,ごてん
ご沙汰,ごさた
ご法度,ごはっと
ご無沙汰,ごぶさた
ご用,ごよう
ご用始め,ごようはじめ
ご用納め,ごようおさめ
ご用聞き,ごようきき
ご用達,ごようたし
ご用達,ごようたつ
ご用達,ごようだち
ご用達,ごようだつ
ご真影,ごしんえい
ご破算,ごはさん
ご神灯,ごしんとう
ご神灯,ごじんとう
ご神燈,ごしんとう
ご神燈,ごじんとう
ご膳,ごぜん
ご苦労,ごくろう
ご苦労さま,ごくろうさま
ご苦労さん,ごくろうさん
ご苦労様,ごくろうさま
ご覧,ごらん
ご託,ごたく
ご詠歌,ごえいか
ご都合主義,ごつごうしゅぎ
ご陵,ごりょう
ご難,ごなん
ご面相,ごめんそう
ご飯,ごはん
ご馳走,ごちそう
ご馳走さま,ごちそうさま
さいの目,さいのめ
さい銭,さいせん
さお竹,さおだけ
さがし出す,さがしだす
さくら貝,さくらがい
さくら貝,サクラガイ
さく裂,さくれつ
ささやき声,ささやきごえ
ささ身,ささみ
ささ身,ササミ
さざれ石,さざれいし
さざ波,さざなみ
さし出す,さしだす
さし絵,さしえ
さし迫る,さしせまる
さじ加減,さじかげん
さつま芋,さつまいも
さつま芋,サツマイモ
さばけ口,さばけぐち
さび止め,さびどめ
さび色,さびいろ
さや取り,さやとり
さらけ出す,さらけだす
さらし粉,さらしこ
さらし者,さらしもの
さらし首,さらしくび
さん付け,さんづけ
さ来年,さらいねん
さ来月,さらいげつ
さ来週,さらいしゅう
さ湯,さゆ
さ迷う,さまよう
しいの木,しいのき
しいの木,シイノキ
しかめっ面,しかめっつら
しかめ面,しかめつら
しかる後,しかるのち
しこ名,しこな
したたか者,したたかもの
したり顔,したりがお
しだれ桜,しだれざくら
しだれ桜,シダレザクラ
しっぺ返し,しっぺがえし
しつけ糸,しつけいと
しなの木,しなのき
しなの木,シナノキ
しぼり込む,しぼりこむ
しみ込む,しみこむ
しめ縄,しめなわ
しめ飾り,しめかざり
しゃくり上げる,しゃくりあげる
しゃく熱,しゃくねつ
しゃしゃり出る,しゃしゃりでる
しゅん功,しゅんこう
しゅん工,しゅんこう
