稼,1.80,50,30065
梗,1.80,48,6431
受,1.79,727,713455
栃,1.79,72,49706
譜,1.79,77,41043
宴,1.79,54,12763
湖,1.78,471,114404
科,1.77,986,821872
星,1.77,563,427426
積,1.77,248,255277
折,1.77,270,87255
鼓,1.77,88,19245
営,1.76,593,523672
刊,1.76,108,263661
豊,1.76,707,232259
祉,1.76,69,47155
滅,1.75,120,128537
悲,1.75,189,40237
拐,1.75,36,11596
賦,1.75,47,4174
愛,1.74,511,566192
稿,1.74,62,43671
広,1.73,827,597851
座,1.73,444,350130
五,1.73,3218,296752
抗,1.73,74,124912
茶,1.73,391,95846
紀,1.72,646,394725
消,1.72,178,250866
弁,1.72,303,116065
湯,1.72,534,81527
偶,1.72,111,67623
奏,1.71,103,184471
竜,1.71,472,124593
請,1.71,304,87187
乾,1.71,103,33906
退,1.70,214,378076
越,1.70,766,219284
泥,1.70,117,19817
巾,1.70,39,5644
崩,1.69,74,58706
宗,1.67,605,233265
艇,1.67,90,58832
堪,1.67,27,4263
車,1.66,900,1504291
笑,1.66,232,129035
脱,1.66,107,121116
染,1.66,186,87757
彫,1.66,42,25709
慨,1.66,22,2283
清,1.65,864,273963
羞,1.65,27,2301
引,1.64,922,445624
病,1.64,569,270092
七,1.64,1292,148407
林,1.63,816,279825
働,1.63,154,162349
恩,1.63,182,32482
汁,1.63,69,12344
秋,1.62,460,253436
遣,1.62,184,68521
后,1.62,75,26512
鍛,1.62,113,15622
娯,1.62,31,6370
氾,1.62,21,2834
奇,1.61,209,78867
針,1.61,170,52038
宜,1.61,96,19264
八,1.60,3154,340488
囲,1.60,207,160124
鬼,1.60,369,99625
飼,1.60,179,45126
糾,1.60,42,4501
宮,1.59,1604,584086
帝,1.59,283,268649
崇,1.59,112,30482
域,1.58,191,514896
永,1.58,571,223655
替,1.58,154,159128
詐,1.58,38,9239
国,1.57,2296,3523544
修,1.57,520,333429
群,1.57,193,179266
探,1.57,134,140093
絡,1.57,114,62466
羊,1.57,91,18994
倣,1.57,40,8491
章,1.56,550,248268
郵,1.56,106,222907
精,1.56,311,171505
舎,1.56,277,155695
邦,1.56,199,144315
固,1.56,102,103591
衰,1.56,68,24394
申,1.55,163,67590
慎,1.55,53,34391
履,1.55,140,22331
郷,1.54,1373,178700
溝,1.54,182,26290
腰,1.54,110,22204
禍,1.54,33,3767
組,1.53,649,1177721
配,1.53,189,464653
六,1.53,1330,161826
骨,1.53,234,82592
網,1.53,199,73768
摘,1.53,114,49081
寒,1.53,191,33723
春,1.52,658,299127
犠,1.52,36,17946
条,1.51,963,363993
氏,1.51,608,313421
御,1.51,1204,273280
極,1.51,226,185879
仏,1.51,367,104207
唱,1.51,232,80932
柔,1.51,76,53451
紋,1.51,114,46056
鯨,1.51,45,12075
応,1.50,638,349679
魔,1.50,183,289915
禁,1.50,91,100279
生,1.49,2085,2448210
披,1.49,62,40192
全,1.48,558,1333988
総,1.48,670,631784
許,1.48,125,136595
中,1.47,4952,3432932
江,1.47,1672,416606
紹,1.47,370,115361
隠,1.47,160,84788
訟,1.47,44,22501
幼,1.46,100,143181
貞,1.46,301,59132
憂,1.46,51,11578
金,1.45,1861,910638
乗,1.45,369,428943
岩,1.45,987,283608
凸,1.45,13,4766
残,1.44,141,260273
鳥,1.44,649,217954
侶,1.44,55,8541
出,1.43,1646,3138463
比,1.43,478,260406
乏,1.43,18,14241
餅,1.43,81,8168
知,1.41,843,737727
従,1.41,455,244890
圏,1.41,56,105871
岳,1.41,1128,64026
孔,1.41,71,17911
昇,1.40,101,136172
亜,1.40,206,134715
否,1.40,39,69238
銭,1.40,123,32262
欺,1.40,41,10033
井,1.39,2209,676948
追,1.39,257,255919
甲,1.39,553,186925
耗,1.39,26,6772
面,1.38,599,873241
門,1.38,1621,555682
件,1.38,132,348563
根,1.38,990,255224
慶,1.38,318,112700
熟,1.38,60,31029
湧,1.38,36,11562
朕,1.38,6,509
区,1.37,1687,1105644
両,1.37,294,481892
弟,1.37,122,184812
巡,1.37,115,104000
升,1.37,71,5821
水,1.36,2414,977241
博,1.36,492,282461
緑,1.36,225,88976
弓,1.36,157,37888
千,1.35,2178,403595
返,1.35,263,135226
斬,1.35,107,34041
芽,1.35,89,20056
音,1.34,685,730384
流,1.34,806,582987
核,1.34,73,76636
耕,1.34,87,31567
倫,1.34,94,31522
勅,1.34,99,22355
述,1.33,90,216374
灰,1.33,81,27294
喚,1.33,51,17476
麺,1.33,43,10807
片,1.32,378,113999
柱,1.32,131,36564
奮,1.32,90,15729
法,1.31,1607,1143372
品,1.31,614,931286
輝,1.31,197,66776
緊,1.31,58,36032
憾,1.31,13,1375
発,1.30,574,2130964
森,1.30,927,330931
健,1.30,273,188933
妻,1.30,229,162619
賢,1.30,214,53686
動,1.29,660,1615143
取,1.29,917,756744
径,1.29,152,52688
貿,1.29,77,26617
府,1.28,508,500471
熱,1.28,193,145150
毛,1.28,452,123246
垣,1.28,268,54812
逐,1.28,93,41723
尻,1.28,335,38874
経,1.27,790,961367
艦,1.27,289,386659
切,1.27,843,319085
雄,1.27,660,255359
軽,1.27,218,118645
二,1.26,4002,804858
党,1.26,176,361482
援,1.26,148,179110
揚,1.26,165,40922
禅,1.26,179,21234
和,1.25,1952,1516298
楽,1.25,624,716560
火,1.25,511,267499
老,1.25,429,117116
逆,1.25,128,110882
我,1.25,282,82263
奴,1.25,111,39301
紛,1.25,71,26151
焦,1.25,45,13515
連,1.24,769,1416626
雪,1.24,313,107290
克,1.24,206,42261
煙,1.24,101,36180
馬,1.23,1055,528748
含,1.23,231,247892
侵,1.23,105,70609
母,1.22,344,307473
警,1.22,471,276429
華,1.22,514,179179
唐,1.22,244,52472
小,1.21,4122,1631653
球,1.21,233,531682
角,1.21,518,222135
忠,1.21,444,135382
善,1.21,461,107358
剤,1.21,88,55845
菌,1.21,49,42226
舌,1.21,84,15432
